"Año";"Periodo";"Parámetro";"Denuncias, datos acumulados"
"2018";"Trimestre 1";"Agresión sexual con penetración";"378"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"75"
"2018";"Trimestre 1";"Hurtos";"165.528"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"40.391"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"14.264"
"2018";"Trimestre 1";"Secuestro";"22"
"2018";"Trimestre 1";"Sustracciones de vehículos";"8.694"
"2018";"Trimestre 1";"Total";"503.808"
"2018";"Trimestre 1";"Tráfico de drogas";"3.157"
"2019";"Trimestre 1";"Agresión sexual con penetración";"376"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"76"
"2019";"Trimestre 1";"Hurtos";"168.817"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"37.104"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"15.400"
"2019";"Trimestre 1";"Secuestro";"24"
"2019";"Trimestre 1";"Sustracciones de vehículos";"8.847"
"2019";"Trimestre 1";"Total";"529.066"
"2019";"Trimestre 1";"Tráfico de drogas";"3.797"
"2020";"Trimestre 1";"Agresión sexual con penetración";"383"
"2020";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"85"
"2020";"Trimestre 1";"Hurtos";"137.635"
"2020";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"32.530"
"2020";"Trimestre 1";"Robos con violencia e intimidación";"13.554"
"2020";"Trimestre 1";"Secuestro";"16"
"2020";"Trimestre 1";"Sustracciones de vehículos";"7.243"
"2020";"Trimestre 1";"Total";"475.276"
"2020";"Trimestre 1";"Tráfico de drogas";"3.813"
"2021";"Trimestre 1";"Agresión sexual con penetración";"426"
"2021";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"60"
"2021";"Trimestre 1";"Hurtos";"96.060"
"2021";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"23.353"
"2021";"Trimestre 1";"Robos con violencia e intimidación";"11.006"
"2021";"Trimestre 1";"Secuestro";"18"
"2021";"Trimestre 1";"Sustracciones de vehículos";"5.353"
"2021";"Trimestre 1";"Total";"430.176"
"2021";"Trimestre 1";"Tráfico de drogas";"4.286"
"2022";"Trimestre 1";"Agresión sexual con penetración";"544"
"2022";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"74"
"2022";"Trimestre 1";"Hurtos";"145.399"
"2022";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"29.913"
"2022";"Trimestre 1";"Robos con violencia e intimidación";"14.892"
"2022";"Trimestre 1";"Secuestro";"14"
"2022";"Trimestre 1";"Sustracciones de vehículos";"7.172"
"2022";"Trimestre 1";"Total";"550.150"
"2022";"Trimestre 1";"Tráfico de drogas";"4.482"
;;
;;
"Métrica":"Denuncias, datos acumulados"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cifras-crimen-espana/d46b83fd-58df-4c71-bdeb-d40691a66838"
"Titulo":"Las cifras del crimen en España"
"Subtitulo":""
